Message, CRC, Time, DF, CA, ICAO24, TC, Vehicle Category, Flight ID, Status, Antenna, Altitude, UTC Sync, CPR Format, Latitude, Longitude, Subtype, Intent Change, IFR Capability, Velocity Uncertainty, Speed, Heading(°), Heading, Vertical Rate, Turn Indicator, GHD
3CA555BAEAB529DB0560A59D64A4,1, 23-Dec-2025 12:02:54,7,4,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
C8D86DA6E03F35D8671725DAA0A1,1, 23-Dec-2025 12:02:54,25,0,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
F1AA8E3A4A625C9AD20637AE6EF3,1, 23-Dec-2025 12:02:54,30,1,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
9B8E04A68011AE08440D52F97ECB,1, 23-Dec-2025 12:02:54,19,3,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
A34DFA9BBE532E7CED0BA4E9DAB3,1, 23-Dec-2025 12:02:54,20,3,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
98742745D6840688C71B20E49F2A,1, 23-Dec-2025 12:02:54,19,0,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
498FE951CB6C84A86CD2547498DA,1, 23-Dec-2025 12:02:54,9,1,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
8BC3D31D8CB0762A49399B537225,1, 23-Dec-2025 12:02:54,17,3,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
B40FE24B39E2EA1BA70A18CD7B56,1, 23-Dec-2025 12:02:54,22,4,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
20000318142EB9AA50ED280FE1C1,1, 23-Dec-2025 12:02:54,4,0,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
29E47AE6EAE5CF4C7AD3147001DF,1, 23-Dec-2025 12:02:54,5,1,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
FD32A3971116A0AEF87F5AFC828C,1, 23-Dec-2025 12:02:54,31,5,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
1791CDDEB25B66C02C97E2EA2F1F,1, 23-Dec-2025 12:02:54,2,7,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
BFA59BE9EF7ADC52DDCF0E2A8774,1, 23-Dec-2025 12:02:54,23,7,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
20000450BC900830A486006458EF,1, 23-Dec-2025 12:02:54,4,0,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
A263A2F04C9D77DC99A54826E90C,1, 23-Dec-2025 12:02:54,20,2,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
4850E54B6E9190AAF7F191CA9668,1, 23-Dec-2025 12:02:54,9,0,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
20169C56BC8BFF4D11332CC13B3D,1, 23-Dec-2025 12:02:54,4,0,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
50D1A5E361E3D7C067E286F702D2,1, 23-Dec-2025 12:02:54,10,0,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
E4ABA6865ABB8CB2FF37D394AA2B,1, 23-Dec-2025 12:02:54,28,4,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
8D86CED2581984623DBFC052273A,0, 23-Dec-2025 12:02:54,17,5, 86CED2,11,                   NoData,         ,    NoEmergency,0,4000,0,   Odd,           NaN,           NaN, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
8D86CED2998CAF8A08380E64A5CA,0, 23-Dec-2025 12:02:54,17,5, 86CED2,19,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0,     CartesianNormal,1,0,1,191,246, SW,-832,0,14
B1BCEA118E51F3843DEA5C16A2DE,1, 23-Dec-2025 12:02:54,22,1,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
2E2C512EF3B77B818BFAB7342A1B,1, 23-Dec-2025 12:02:54,5,6,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
F2F955B1A7FB9174D70D40C4EAC7,1, 23-Dec-2025 12:02:54,30,2,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
9B8F1DD14DFD237D875BCD4261D4,1, 23-Dec-2025 12:02:54,19,3,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
B9A086955102B88789475E36A4E1,1, 23-Dec-2025 12:02:54,23,1,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
              5D86CED277BA6C,0, 23-Dec-2025 12:02:54,11,5, 86CED2,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
9C4EF068C56188AAEED3FCDDC0A2,1, 23-Dec-2025 12:02:54,19,4,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
B8B94CB3DA3AC8860C3F8BA11B30,1, 23-Dec-2025 12:02:54,23,0,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
98296B96EC4D9523CC6A53AC9076,1, 23-Dec-2025 12:02:54,19,0,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
F9653F58EC180D0C5845E5122B76,1, 23-Dec-2025 12:02:54,31,1,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
D99D63D5CDE234A7CE0A970BA70B,1, 23-Dec-2025 12:02:54,27,1,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
8D86CE522504E078D7182031F56E,1, 23-Dec-2025 12:02:54,17,5,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
936D07A14C2A5B5502F822A90277,1, 23-Dec-2025 12:02:54,18,3,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
A115F8516F0777E64DA99A24C305,1, 23-Dec-2025 12:02:54,20,1,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
1C10A3656E2D7ABC2B808F5BC2A8,1, 23-Dec-2025 12:02:54,3,4,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
AB81663B6C2ECEEC72A5B7FCC184,1, 23-Dec-2025 12:02:54,21,3,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
1DDEB19E2A45D8EFA5CFEDB69253,1, 23-Dec-2025 12:02:54,3,5,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
A36E3B3AFC24CC15F549F0EB7C08,1, 23-Dec-2025 12:02:55,20,3,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
              5D86CED257BA6C,1, 23-Dec-2025 12:02:55,11,5,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
20001218F5A546B3D3258BF474DF,1, 23-Dec-2025 12:02:55,4,0,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
78710D944C946B41484EB5AD253D,1, 23-Dec-2025 12:02:55,15,0,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
D38944E8B8AEDF1BAEEDACC07DFA,1, 23-Dec-2025 12:02:55,26,3,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
1D1CF15F2A68CCBBDE47C754D442,1, 23-Dec-2025 12:02:55,3,5,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
F6F25C66031041D1C1FB3D19FEEE,1, 23-Dec-2025 12:02:55,30,6,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
EEA3CD1D051806AD34396494E2A8,1, 23-Dec-2025 12:02:55,29,6,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
4E6CE06866D0A865551EBFE8DD81,1, 23-Dec-2025 12:02:55,9,6,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
5533CD735B3FC7BA48447AB47C46,1, 23-Dec-2025 12:02:55,10,5,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
D952BF8175AD89EF1D8EE338DE8B,1, 23-Dec-2025 12:02:55,27,1,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
BEBB48165D6247ECEAACA0FD2A4C,1, 23-Dec-2025 12:02:55,23,6,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
3735B905511E8B9656DDBF8ACA10,1, 23-Dec-2025 12:02:55,6,7,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
5209D4570C41075733E6D0E526FC,1, 23-Dec-2025 12:02:55,10,2,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
C4B839358B6CAECF5C0194F67BD5,1, 23-Dec-2025 12:02:55,24,4,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
              5B669C4786D427,1, 23-Dec-2025 12:02:55,11,3,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
FC00C0F81F85525F30D0C07DE4A5,1, 23-Dec-2025 12:02:55,31,4,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
D18255E148E9E0A863682E7A520D,1, 23-Dec-2025 12:02:55,26,1,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
              5A08E1FCE7644E,1, 23-Dec-2025 12:02:55,11,2,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
D66823B4205BCB050E2FE1E0B829,1, 23-Dec-2025 12:02:55,26,6,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
A0000317D8F965123F87EC8059AC,1, 23-Dec-2025 12:02:55,20,0,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
32A561BF1B401AAAC30EA41FCEAA,1, 23-Dec-2025 12:02:55,6,2,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
0281831722D2C0022B891DB4FCA7,1, 23-Dec-2025 12:02:55,0,2,       ,0,                   NoData,         ,    StatusUnset,0,0,0, CPRFormatUnset,0,0, VelocitySubtypeUnset,0,0,0,0,0,   ,0,0,0
